"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7548","First PlayWright Test","","Thu Dec 18 15:16:44 CET 2025","passed","Thu Dec 18 15:16:51 CET 2025","","tests/UIBasics.spec.js","",""
"","2745","First PlayWright Test","","Thu Dec 18 15:16:44 CET 2025","passed","Thu Dec 18 15:16:46 CET 2025","","tests/ClientApp.spec.js","",""
